,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,99.031,0.26,0.44,0.0,0.21,0.0,0.0,0.0,0.0,0.02,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,825.0,30.0,0.0,232.0
1,98.833,0.25,0.44,0.08,0.18,0.0,0.0,0.0,0.08,0.12,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,610.0,30.0,0.0,235.0
2,98.975,0.26,0.43,0.0,0.27,0.0,0.0,0.0,0.02,0.03,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1270.0,30.0,0.0,235.0
3,98.938,0.26,0.51,0.0,0.23,0.0,0.0,0.0,0.0,0.02,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1740.0000000000002,30.0,0.0,241.0
4,99.082,0.22,0.42,0.02,0.19,0.0,0.0,0.0,0.0,0.02,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,825.0,30.0,0.0,225.0
5,98.918,0.26,0.45,0.03,0.22,0.0,0.0,0.0,0.02,0.05,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,825.0,30.0,0.0,272.04248291658564
6,98.861,0.28,0.5,0.0,0.27,0.0,0.0,0.0,0.02,0.03,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1270.0,30.0,0.0,271.62506050605236
7,98.859,0.27,0.54,0.02,0.25,0.0,0.0,0.0,0.0,0.02,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1740.0000000000002,30.0,0.0,245.0
8,98.85,0.27,0.37,0.09,0.23,0.0,0.0,0.0,0.06,0.1,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,610.0,30.0,0.0,275.0
9,98.966,0.22,0.47,0.0,0.26,0.0,0.0,0.0,0.02,0.02,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1270.0,30.0,0.0,239.0
10,98.887,0.23,0.51,0.03,0.26,0.0,0.0,0.0,0.0,0.03,0.0,0.0,885.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,1740.0000000000002,30.0,0.0,255.0
11,98.607,0.35,0.77,0.02,0.21,0.0,0.0,0.0,0.0,0.0,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,397.0
12,98.469,0.35,0.74,0.0,0.3,0.0,0.0,0.0,0.0,0.1,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,419.0
13,98.613,0.34,0.74,0.0,0.26,0.0,0.0,0.0,0.0,0.02,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,401.0
14,98.367,0.36,0.7,0.09,0.26,0.0,0.0,0.0,0.08,0.12,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,425.57164980394134
15,98.61,0.33,0.75,0.02,0.21,0.0,0.0,0.0,0.0,0.03,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,426.0
16,98.34,0.38,0.7,0.11,0.29,0.0,0.0,0.0,0.06,0.08999999999999998,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,426.0
17,98.484,0.33,0.76,0.03,0.26,0.0,0.0,0.0,0.0,0.1,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,454.0
18,98.586,0.32,0.73,0.03,0.26,0.0,0.0,0.0,0.02,0.02,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,416.0100649041442
19,98.414,0.37,0.78,0.02,0.27,0.0,0.0,0.0,0.0,0.11,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,416.0
20,98.511,0.35,0.82,0.0,0.25,0.0,0.0,0.0,0.03,0.0,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,395.0
21,98.575,0.37,0.72,0.02,0.24,0.0,0.0,0.0,0.02,0.02,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,430.6042869284497
22,98.583,0.32,0.63,0.08,0.21,0.0,0.0,0.0,0.06,0.1,30.0,0.0,865.0,24.0,24.0,550.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,379.0
23,98.607,0.35,0.77,0.02,0.21,0.0,0.0,0.0,0.0,0.0,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,382.0
24,98.469,0.35,0.74,0.0,0.3,0.0,0.0,0.0,0.0,0.1,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,385.0
25,98.613,0.34,0.74,0.0,0.26,0.0,0.0,0.0,0.0,0.02,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,365.0
26,98.367,0.36,0.7,0.09,0.26,0.0,0.0,0.0,0.08,0.12,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,379.0
27,98.61,0.33,0.75,0.02,0.21,0.0,0.0,0.0,0.0,0.03,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,377.0
28,98.34,0.38,0.7,0.11,0.29,0.0,0.0,0.0,0.06,0.08999999999999998,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,394.0
29,98.484,0.33,0.76,0.03,0.26,0.0,0.0,0.0,0.0,0.1,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,425.0
